

News,#genre#
BBC Two HD, https://viamotionhsi.netplus.ch/live/eds/bbc2/browser-HLS8/bbc2.m3u8

BBC Two Northern Ireland HD, https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_two_northern_ireland_hd/iptv_mse_v0_hevc.mpd
BBC Two Wales, https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_two_wales_digital/iptv_mse_v0_hevc.mpd
BBC UHD 1 (2160p)  [N24/7], https://ve-uhd-push-uk-live.akamaized.net/x=3/i=urn:bbc:pips:service:uhd_stream_01/iptv_uhd_v1.mpd
BBC UHD 2 (2160p)  [N24/7], https://ve-uhd-push-uk-live.akamaized.net/x=3/i=urn:bbc:pips:service:uhd_stream_02/iptv_uhd_v1.mpd
BBC UHD 3 (2160p)  [N24/7], https://ve-uhd-push-uk-live.akamaized.net/x=3/i=urn:bbc:pips:service:uhd_stream_03/iptv_uhd_v1.mpd
BBC UHD 4 (2160p)  [N24/7], https://ve-uhd-push-uk-live.akamaized.net/x=3/i=urn:bbc:pips:service:uhd_stream_04/iptv_uhd_v1.mpd
BBC UHD 5 (2160p)  [N24/7], https://ve-uhd-push-uk-live.akamaized.net/x=3/i=urn:bbc:pips:service:uhd_stream_05/iptv_uhd_v1.mpd

Binge, https://videostack1.cdnstream1.com:1936/binge-tv/binge-tv/playlist.m3u8
Bloomberg Quicktake, https://bloomberg-quicktake-1-be.samsung.wurl.tv/playlist.m3u8

BMC-HD TV, https://livestream.telvue.com/belmontmedia4/f7b44cfafd5c52223d5498196c8a2e7b.sdp/playlist.m3u8


BTV 1, https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119033/btv1/playlist.m3u8


Burbank Channel, https://cdn3.wowza.com/5/djRwZmQvTEJidmZD/burbank/G0240_009/playlist.m3u8
BX Omni, https://reflect-stream-bronxnet.cablecast.tv/live-16/live/stream-1/live.m3u8

Canaf54 TV, https://5caf24a595d94.streamlock.net:1937/pvyugfkzkc/pvyugfkzkc/playlist.m3u8
Canal 2 International, http://69.64.57.208/canal2international/playlist.m3u8
Canal America TV, http://newyorkstream.ddns.net:5854/enlacecanalamerica/encoderRD/playlist.m3u8
Cape Town TV, https://uvotv-aniview.global.ssl.fastly.net/hls/live/2120686/capetowntv/playlist.m3u8

Caribbean Advantage TV  [N24/7], https://video2.getstreamhosting.com:19360/8216/8216.m3u8
Caribbean Hot 7 TV, https://586a9edea75f1.streamlock.net/caribbeanhot7tv/ch7-1.stream/playlist.m3u8
Carlsbad City TV Channel (Carlsbad CA), https://edge-f.swagit.com/live/carlsbadca/live-3-a-1/playlist.m3u8
CBC Calgary (CBRT-DT), https://cbcrclinear-tor.akamaized.net/hls/live/2042763/CBCRCLINEAR_TOR_9/master5.m3u8
CBC Edmonton (CBXT-DT), https://cbcrclinear-tor.akamaized.net/hls/live/2042765/CBCRCLINEAR_TOR_11/master5.m3u8
CBC Manitoba (CBWT-DT), https://cbcrclinear-tor.akamaized.net/hls/live/2042767/CBCRCLINEAR_TOR_13/master5.m3u8
CBC Montréal (CBMT-DT), https://cbcrclinear-tor.akamaized.net/hls/live/2042761/CBCRCLINEAR_TOR_7/master5.m3u8
CBC New Brunswick (CBAT-DT), https://cbcrclinear-tor.akamaized.net/hls/live/2042757/CBCRCLINEAR_TOR_3/master5.m3u8
CBC Newfoundland and Labrador (CBNT-DT), https://cbcrclinear-tor.akamaized.net/hls/live/2042755/CBCRCLINEAR_TOR_1/master5.m3u8
CBC North (CFYK-DT), https://cbcrclinear-tor.akamaized.net/hls/live/2042766/CBCRCLINEAR_TOR_12/master5.m3u8
CBC Nova Scotia (CBHT-DT), https://cbcrclinear-tor.akamaized.net/hls/live/2042758/CBCRCLINEAR_TOR_4/master5.m3u8
CBC Ottawa (CBOT-DT), https://cbcrclinear-tor.akamaized.net/hls/live/2042762/CBCRCLINEAR_TOR_8/master5.m3u8
CBC Prince Edward Island (CBCT-DT), https://cbcrclinear-tor.akamaized.net/hls/live/2042756/CBCRCLINEAR_TOR_2/master5.m3u8
CBC Saskatchewan (CBKT-DT), https://cbcrclinear-tor.akamaized.net/hls/live/2042764/CBCRCLINEAR_TOR_10/master5.m3u8
CBC Toronto (CBLT-DT), https://cbcrclinear-tor.akamaized.net/hls/live/2042760/CBCRCLINEAR_TOR_6/master5.m3u8
CBC Vancouver (CBUT-DT), https://cbcrclinear-tor.akamaized.net/hls/live/2042768/CBCRCLINEAR_TOR_14/master5.m3u8
CBC Windsor (CBET-DT), https://cbcrclinear-tor.akamaized.net/hls/live/2042759/CBCRCLINEAR_TOR_5/master5.m3u8
CBN TV, https://5790d294af2dc.streamlock.net/CBNVI/CBNVI/playlist.m3u8
CBS 2 Billings MT (KTVQ), https://livetv-fa.tubi.video/ktvq/playlist.m3u8
CBS 3 Great Falls MT (KRTV), https://livetv-fa.tubi.video/krtv/playlist.m3u8
CBS 3 Omaha NE (KMTV-TV), https://content.uplynk.com/channel/328d1434fb51476cb6567c74d5b2cc70.m3u8
CBS 7 Bozeman MT (KBZK), https://livetv-fa.tubi.video/kbzk/playlist.m3u8
CBS 8 Des Moines IA (KCCI), https://livetv-fa.tubi.video/kcci/playlist.m3u8
CBS 8 Missoula MT (KPAX), https://livetv-fa.tubi.video/kpax/playlist.m3u8
CBS 9 Oklahoma City OK (KWTV-DT1)  [N24/7], https://fuel-streaming-prod01.fuelmedia.io/v1/sem/e48409e7-672d-42f2-b5e0-ebb6744b0425.m3u8
CBS East, https://fl41.moveonjoy.com/CBS_News/index.m3u8
CCTV-4 America, https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-4 Europe, https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119696/cctv4/playlist.m3u8
CCX Media North Brooklyn Park MN, https://reflect-ccx.cablecast.tv/live-9/live/live.m3u8

Channel 4, https://x.canlitvapp.com/u-channel-4/index.m3u8
Channel 4 UK HD, https://viamotionhsi.netplus.ch/live/eds/channel4/browser-HLS8/channel4.m3u8
Channel 5, https://tinyurl.com/2c3bacne
Channel 5, https://x.canlitvapp.com/u-channel-5/index.m3u8
Channel 5 HD, https://viamotionhsi.netplus.ch/live/eds/channel5/browser-HLS8/channel5.m3u8
Channel 7, https://npc.cdn.7livecloud.io/hls/live/SYD1/master.m3u8
Channel 9 Adelaide, https://9now-livestreams-fhd-t.akamaized.net/u/prod/simulcast/adl/ch9/hls/r1/index.m3u8
Channel 9 Brisbane, https://9now-livestreams-fhd-t.akamaized.net/u/prod/simulcast/bne/ch9/hls/r1/index.m3u8
Channel 9 Melbourne, https://9now-livestreams-fhd-t.akamaized.net/u/prod/simulcast/mel/ch9/hls/r1/index.m3u8
Channel 9 Perth, https://9now-livestreams-fhd-t.akamaized.net/u/prod/simulcast/per/ch9/hls/r1/index.m3u8
Channel 9 Sydney, https://9now-livestreams-fhd-t.akamaized.net/u/prod/simulcast/syd/ch9/hls/r1/index.m3u8
Channel 11 (Scottsdale AZ), https://cdn3.wowza.com/5/RXJNMFI3VlVkOEFP/scottsdale/G0040_007/chunklist.m3u8

Channel247, https://tv.localstreamgh.com/Channel247/index.m3u8

Channel Ten, https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119691/channelten/playlist.m3u8

CHCO-TV, https://temp4.isilive.ca/live/CHCOTV/live/index.m3u8
Citizen Extra, https://74937.global.ssl.fastly.net/5ea49827ff3b5d7b22708777/live_40c5808063f711ec89a87b62db2ecab5/index.m3u8
Citizen TV, https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119696/citizen/playlist.m3u8
CLTV 36  [N24/7], https://live.cltv36.tv:5443/LiveApp/streams/cltvlive.m3u8

Concord TV (Concord CA), https://concordca.cablecast.tv/live/stream-2/live.m3u8
Costa Mesa's Municipal Access Channel CMTV 3, https://cdn3.wowza.com/5/UWpORHhLSEs5SkJs/costamesa/G0075_002/playlist.m3u8
County News Center (CNC TV) (San Diego CA), https://cdn3.wowza.com/5/V2Y2VmhqMEFDTUkx/sdcounty/G0283_012/playlist.m3u8
Cox Enfield Public Access Channel 15 (Einfield CT), http://northcentral.coxctv.com/live-10/live/live.m3u8
CreaTV Bay Voice TV Channel 27 (San Jose CA), https://reflect-creatv.cablecast.tv/live-19/live/live.m3u8
CreaTV Community Channel 15 (San Jose CA), https://reflect-creatv.cablecast.tv/live-13/live/live.m3u8
CreaTV The Outlet Channel 30 (San Jose CA), https://reflect-creatv.cablecast.tv/live-16/live/live.m3u8
Crown TV, https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119690/crowntv/playlist.m3u8
CRTV, http://69.64.57.208/crtv/playlist.m3u8
CTB Perth, https://live.ctbperth.net.au/hls/0/stream.m3u8
CVM TV, https://fl41.moveonjoy.com/CVM_TV_CARIBBEAN/index.m3u8
DD Assam, https://d2lk5u59tns74c.cloudfront.net/out/v1/d380bf5c167b4319a46cdd8204bc26b2/index.m3u8

DD Urdu, https://cdn-4.pishow.tv/live/8/master.m3u8
Dubai One, https://dminnvllta.cdn.mgmlcdn.com/dubaione/smil:dubaione.stream.smil/chunklist.m3u8
Energia TV  [N24/7], https://sincerecloud.stream/loadbalancer/public/actMdyoE.m3u8
Equinoxe TV, http://69.64.57.208/equinoxtv/playlist.m3u8

Fairfield Government Access Channel 26 (Fairfield CA), https://reflect-fairfield-ca.cablecast.tv/live-8/live/live.m3u8
Faraja Television  [N24/7], https://panel.freedomflixtv.org:3868/hybrid/play.m3u8
FC Public Media (Fort Collins CO), https://reflect-fcpublicmedia.cablecast.tv/live-5/live/stream-1/live.m3u8
Fish TV, https://tv.localstreamgh.com/fishtv/index.m3u8
Fontana Community Television, https://reflect-watchkfon-fontana.cablecast.tv/live-3/live/live.m3u8
Fort Collins Cable TV (FCTV) (Fort Collins CO), https://reflect-vod-fcgov.cablecast.tv/live-9/live/stream-1/live.m3u8
FOX 2 San Francisco CA (KTVU), https://livetv-fa.tubi.video/ktvu/index.m3u8
FOX 4 Dallas / Fort Worth TX (KDFW), https://livetv-fa.tubi.video/kdfw/index.m3u8
FOX 7 Austin TX (KTBC), https://livetv-fa.tubi.video/ktbc/index.m3u8
FOX 9 ST Paul Minneapolis MN (KMSP), https://livetv-fa.tubi.video/kmsp/index.m3u8
FOX 10 Phoenix AZ (KSAZ), https://livetv-fa.tubi.video/ksaz/index.m3u8
FOX 11 Los Angeles CA (KTTV), https://livetv-fa.tubi.video/kttv/index.m3u8
FOX 13 Salt Lake City UT (KSTU), https://livetv-fa.tubi.video/kstu2/playlist.m3u8
FOX 13 Seattle WA (KCPQ), https://livetv-fa.tubi.video/kcpq/index.m3u8
FOX 23 Cape Girardeau MO (KBSI-DT1)  [N24/7], https://live.field59.com/kbsi/kbsi1/playlist.m3u8
FOX 26 Houston TX (KRIV), https://livetv-fa.tubi.video/kriv/index.m3u8
Fresno CMAC 1 Public Channel, https://reflect-vod-cmac.cablecast.tv/live-11/live/stream-1/live.m3u8
GBS TV  [N24/7], https://goliveafrica.media:9998/live/647460ac1ddd6/index.m3u8
GH Canada TV, https://stream.bozztv.com/tvstat-tamar/tvstat-tamar/playlist.m3u8
GHLife TV, https://stream-server9-jupiter.muxlive.com/hls/ghlifetv/index.m3u8
GHtv Holland, http://37.48.120.77:8080/hls/ghtvonline.m3u8
Gilroy CMAP TV Channel 18, https://livestream.telvue.com/cmap3/f7b44cfafd5c52223d5498196c8a2e7b.sdp/playlist.m3u8
Gilroy CMAP TV Channel 20, https://livestream.telvue.com/cmap5/f7b44cfafd5c52223d5498196c8a2e7b.sdp/playlist.m3u8
Golden Community Television (GCO.tv) (Golden CO), https://reflect-golden-co.cablecast.tv/live-3/live/live.m3u8
GRTS TV, http://69.64.57.208/grts/playlist.m3u8
GTN Canada (1080i), https://streamer12.vdn.dstreamone.net/carishowtime/showtime/chunks.m3u8
GTN TV  [N24/7], https://goliveafrica.media:9998/live/644e07abdc1d3/index.m3u8
GTV, https://g2qd3exjy7an-hls-live.5centscdn.com/gtvghana/ghanaweb.stream/playlist.m3u8
GuyBai TV, https://livechannel.mdc.akamaized.net/stitch/livechannel/1342/master1400000.m3u8;session=live_stream_1342
Hala London, https://halalondon-live.ercdn.net/halalondon/halalondon.m3u8
Hala Ramallah, https://halaramallahtv.com:2053/HRamallah-Tv/HalaRamallah/playlist.m3u8
HGPTV  [N24/7], https://cdn-us-east-prod-ingest-infra-dacast-com.akamaized.net/8424fb7f-99a9-87ae-3861-f0620849d11c/source/index.m3u8

Huntington Beach TV Channel 3, https://reflect-huntingtonbeach.cablecast.tv/live-4/live/stream-1/live.m3u8
ICI Montreal, https://amdici.akamaized.net/hls/live/873426/ICI-Live-Stream/master.m3u8
Ici Radio-Canada Télé Alberta (CBXFT-DT), https://rcavlive.akamaized.net/hls/live/704020/cancbxft/master.m3u8
Ignite Television  [N24/7], https://rpn.bozztv.com/ignitelive/ignitetv/ignitetv/tracks-v1a1/mono.m3u8
Inooro TV, https://74937-castr.akamaized.net/5ea49827ff3b5d7b22708777/live_cd93fa8063f411ecb28b5d4f40b51a46/index.m3u8
International Vietnamese Television IVTV Channel 57.16, https://59d39900ebfb8.streamlock.net/8478/8478/playlist.m3u8
Irvine Community Television, https://cdn3.wowza.com/5/WDIrTW5sM1JEY1NN/irvine/G0016_010/playlist.m3u8
ITV, https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119691/itv/playlist.m3u8
